,Run,Target,RCDB_Tpol,HWP,fcup_POS,fcup_NEG,fcup_ZERO,fcup_BAD,PbPt,PbPt_err_stat,PbPt_err_dil,PbPt_err
83,17192,NH3,0.640446,0.0,20224.01047627548,20126.592861604724,275.6449782306772,65612.88934110371,-0.6911714755991213,0.012513012980211437,0.006746957286468402,0.014216079855866348
84,17195,NH3,0.642059,1.0,43856.01867735233,43845.11659186214,560.1091503871139,134865.13598994093,-0.6492793809611147,0.008479585958901975,0.006352489229910829,0.010595163870867718
85,17197,NH3,0.6396,1.0,14506.072246885637,14489.994986523121,187.25514126973212,60489.45328384257,-0.6724946530605124,0.01475338334448975,0.00641587973273855,0.016088064919512007
86,17199,NH3,0.640174,1.0,13845.667408546578,13870.607571717366,189.6069026621699,47533.42014455263,-0.6376037955485273,0.015092870576364855,0.006266071116021399,0.01634192122933952
87,17203,NH3,0.651857,1.0,22690.353418988463,22666.894322151566,401.6750792772491,78151.90998165193,-0.6468829571747778,0.01174247264910634,0.00621073883113582,0.013283784880205974
88,17204,NH3,0.648228,1.0,18052.904886890094,17991.28502191692,302.9312609429908,65259.98036999942,-0.6791091587344715,0.01316517372585875,0.0067761513096456505,0.014806688549545912
89,17206,NH3,0.653056,1.0,26466.295048740925,26388.759990939987,479.8108740149182,82585.01500750732,-0.6585665600948496,0.010881710972817931,0.006440243371440557,0.012644697243482352
90,17207,NH3,0.649852,0.0,22184.675281126638,22245.63881153104,402.2589226454438,79018.43571410648,-0.6142155705651355,0.011866079744173993,0.005889633579169384,0.013247325473165364
91,17211,NH3,0.639203,0.0,4739.799273435536,4715.400310788929,59.71222310655867,14264.457039460787,-0.7210519578074839,0.02573042472718247,0.007156961433495479,0.026707243466927558
92,17212,NH3,0.637071,0.0,40641.00921215162,40645.924215720326,540.6484820471669,134335.93008822133,-0.6168772004126576,0.008775290011354348,0.0059932796270775746,0.010626622957069592
93,17214,NH3,0.63535,0.0,21213.519704754,21293.935384792043,304.97170452191494,68473.73775640607,-0.6144872037966063,0.01213758408983047,0.005927686337547977,0.013507716789082407
94,17215,NH3,-0.735939,0.0,6931.414741032349,6912.8322430860135,105.9696775036864,24471.29505792068,0.633665532332211,0.02130240164335658,0.006011500567154604,0.022134372700480607
95,17216,NH3,-0.716182,0.0,4833.383481785626,4851.8400768704305,74.47153191792313,16612.565613461848,0.7264690043778046,0.0256611027324194,0.007191230504474455,0.026649690234827616
96,17221,NH3,-0.699716,0.0,16096.311912270554,16173.59798796181,292.9001342005795,63557.5633971651,0.6733917497922773,0.013976068207320709,0.006556975921957364,0.015437759415692722
97,17222,NH3,-0.67078,0.0,22934.995634854276,22962.518170975178,522.8453836088374,85624.77541217284,0.6536019748698666,0.011752465280297634,0.006551905732028851,0.013455404448993492
98,17223,NH3,-0.741384,1.0,6566.238698258101,6564.738166078445,129.73187191421312,26830.27507653649,0.6269673190142229,0.021868086677811458,0.00606274944861418,0.022692953660221196
99,17224,NH3,-0.744229,1.0,36823.775524214376,36887.53398928323,707.4971136525999,129678.19343304451,0.652222417108928,0.009250293960380568,0.006502379879768649,0.011307028011563134
100,17225,NH3,-0.718634,1.0,9827.472281275694,9830.769815315896,176.57960995089888,39440.04481646213,0.6502027281892824,0.01789920373970214,0.006289723011777992,0.018972140366343926
101,17353,NH3,-0.66564,0.0,36669.88017182557,36644.82355307482,1814.6764391070465,116387.40619204367,0.5400354211646706,0.009357827001146513,0.005347042064031249,0.01077774489482407
102,17355,NH3,-0.651207,0.0,5856.537783382142,5843.5060927609975,271.0403214065591,21194.158367051426,0.5571689723129991,0.023391750142808785,0.005283709046476404,0.023981066615799462
103,17356,NH3,-0.650839,0.0,44592.47569313718,44423.59212090638,3051.0644363137544,140444.0459203022,0.5306742409625528,0.008521268553651052,0.005077400878849836,0.009919275046493438
104,17357,NH3,-0.656162,0.0,41936.263591681076,41889.29457489586,2748.003101374663,134502.5367091896,0.5481779059462796,0.008775994556994906,0.005285722159444506,0.01024484939914916
105,17358,NH3,-0.655497,0.0,49015.50722233267,48880.75541788363,3345.0349185959785,153040.34777977646,0.5391756893468567,0.00810499797463728,0.005187219991003855,0.009622798106784972
106,17359,NH3,-0.654354,0.0,42679.167335154285,42719.41023353927,2597.9599901553593,133065.86194247994,0.5941851764348265,0.008673069475394991,0.005627908592533093,0.010339027480906324
107,17360,NH3,-0.655097,1.0,21314.79819915835,21333.35439578457,897.0053390426328,68014.22062021517,0.5665113810453623,0.012279828941841563,0.005735154454119429,0.013553088041236049
108,17361,NH3,-0.572675,1.0,42923.88325336193,42985.475456165485,2738.2889259816147,136436.83815352168,0.567711515330226,0.008639567404931473,0.005468240481085296,0.010224665222066408
109,17362,NH3,-0.655011,1.0,30243.324483795506,30111.53038098672,1974.022614489404,94937.0948651615,0.47950364364683135,0.010306537646645395,0.004442411005031538,0.011223178417870051
110,17363,NH3,-0.614099,1.0,17716.328329422482,17809.342799540667,1208.4419749740046,58200.33253224287,0.5930127571546728,0.013423712198619509,0.006040910378893483,0.014720348073234859
111,17364,NH3,0.000191554,1.0,16089.299407344035,16165.640359885349,1000.1853374259772,51203.45896884975,0.6082492550858634,0.014091990883194036,0.005948964849116389,0.015296221423215807
112,17366,NH3,-0.646924,1.0,1039.5224014678097,1058.062645897735,46.90776265409659,3103.815211357549,0.6971671548630807,0.05534141175903481,0.007368494411553128,0.055829799976142895
113,17368,NH3,-0.559457,1.0,20386.51789462836,20413.66932304909,1194.5054161213884,70043.53993614581,0.5300006951335171,0.012591436700858723,0.005169276507984821,0.013611234249976588
114,17371,NH3,0.809956,1.0,21007.741549657258,20936.323798836856,1101.7502161548964,77992.92618753726,-0.695400749191511,0.012180529017950616,0.006738183722716229,0.013920072091703222
115,17373,NH3,0.800869,1.0,42101.316864699824,41960.66014344018,1519.7230441706051,143317.94154246946,-0.6699223337796977,0.008630397331912001,0.006593859339300567,0.01086106528353251
116,17374,NH3,0.78023,1.0,39754.84609986794,39735.119924387924,2156.7198747107323,146170.54452736586,-0.6424048982763593,0.008875891850300112,0.006405183555669158,0.010945676430446798
117,17375,NH3,0.771125,1.0,41767.84234440891,41728.30428139045,2667.088131653989,134227.6013001456,-0.6131113445230054,0.008646214522603723,0.006053600329532172,0.010554766815074388
118,17376,NH3,0.758703,1.0,11541.783830455737,11475.111103850562,769.2396945570363,42265.56420428833,-0.6529312147236209,0.016478743659178702,0.006540107220837477,0.01772912843444293
119,17379,NH3,0.762573,1.0,36630.687149521815,36689.05313898969,2401.547121454587,140367.70290388743,-0.5919261269538161,0.009212689321698532,0.005663764598393295,0.010814428970784879
120,17381,NH3,0.754553,1.0,27537.44795069564,27481.233439322736,1136.0794543687953,116768.27024933259,-0.6259648789313077,0.01062557546198491,0.006135618081408889,0.012269827347572888
121,17382,NH3,0.747505,0.0,34062.299998199014,34052.05549731648,2388.7781099001877,121171.31498867547,-0.5810135761573105,0.009567612483762913,0.005730745040941121,0.011152607200279547
